INFO 2025-04-06 18:04:52,195 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1714826478.5635083
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/authtoken/models.py first seen with mtime 1731529594.479284
DEBUG 2025-04-06 18:04:52,361 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_uuid.cpython-310-darwin.so first seen with mtime 1654533866.0
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/utils/dates.py first seen with mtime 1714826478.6186807
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/conf/urls/static.py first seen with mtime 1714826478.0967932
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/prometheus_client/values.py first seen with mtime 1736507883.6244493
DEBUG 2025-04-06 18:04:52,361 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/encodings/__init__.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,361 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/hmac.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/renderers.py first seen with mtime 1731529594.4752994
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/auth/apps.py first seen with mtime 1714826478.2332575
DEBUG 2025-04-06 18:04:52,361 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_collections_abc.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/urllib3/util/response.py first seen with mtime 1732828296.8556552
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/charset_normalizer/constant.py first seen with mtime 1732828296.9660099
DEBUG 2025-04-06 18:04:52,361 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/templatetags/cache.py first seen with mtime 1714826478.6145787
DEBUG 2025-04-06 18:04:52,362 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/__init__.py first seen with mtime 1714826478.0968783
DEBUG 2025-04-06 18:04:52,362 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/test/__init__.py first seen with mtime 1714826478.6152685
DEBUG 2025-04-06 18:04:52,362 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/template/response.py first seen with mtime 1714826478.612904
DEBUG 2025-04-06 18:04:52,362 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/base_tasks.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,362 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/shortcuts.py first seen with mtime 1714826478.0404952
DEBUG 2025-04-06 18:04:52,362 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/auth/checks.py first seen with mtime 1714826478.2337148
DEBUG 2025-04-06 18:04:52,362 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/mail/utils.py first seen with mtime 1714826478.571319
DEBUG 2025-04-06 18:04:52,362 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/zoneinfo/_common.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,362 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_hashlib.cpython-310-darwin.so first seen with mtime 1654533862.0
DEBUG 2025-04-06 18:04:52,362 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/files/storage/base.py first seen with mtime 1714826478.569683
